,name,rating,genre,rating_count,duration,description
0,The Shawshank Redemption,9.3,Drama,2948504,2H22M,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
1,The Godfather,9.2,"Crime, Drama",2055241,2H55M,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
2,The Dark Knight,9.0,"Action, Crime, Drama",2925228,2H32M,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
3,The Godfather Part II,9.0,"Crime, Drama",1389005,3H22M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,12 Angry Men,9.0,"Crime, Drama",886847,1H36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
5,The Lord of the Rings: The Return of the King,9.0,"Action, Adventure, Drama",2018213,3H21M,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6,Schindler&apos;s List,9.0,"Biography, Drama, History",1479090,3H15M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
7,Pulp Fiction,8.9,"Crime, Drama",2264232,2H34M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,The Lord of the Rings: The Fellowship of the Ring,8.9,"Action, Adventure, Drama",2047759,2H58M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
9,"Il buono, il brutto, il cattivo",8.8,"Adventure, Drama, Western",826154,2H58M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10,Forrest Gump,8.8,"Drama, Romance",2306490,2H22M,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
11,The Lord of the Rings: The Two Towers,8.8,"Action, Adventure, Drama",1819649,2H59M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard."
12,Fight Club,8.8,Drama,2380460,2H19M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
13,Inception,8.8,"Action, Adventure, Sci-Fi",2600259,2H28M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
14,Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",1403890,2H4M,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
15,The Matrix,8.7,"Action, Sci-Fi",2093632,2H16M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
16,Goodfellas,8.7,"Biography, Crime, Drama",1283086,2H25M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
17,One Flew Over the Cuckoo&apos;s Nest,8.7,Drama,1088526,2H13M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
18,Interstellar,8.7,"Adventure, Drama, Sci-Fi",2169882,2H49M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
19,Se7en,8.6,"Crime, Drama, Mystery",1840439,2H7M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
20,It&apos;s a Wonderful Life,8.6,"Drama, Family, Fantasy",506592,2H10M,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
